r (m)	z (m)	Br (T)	Bz (T)	B (T)	Theta (°)	Ic (A)	I (A)	I/Ic (%)
0.000829	-0.106370	-0.003132	0.026499	0.026683	96.739951	--	0.000000	--
0.000116	-0.107215	0.000830	0.025915	0.025929	88.165599	--	0.000000	--
0.000713	-0.106523	-0.003829	0.030896	0.031132	97.065068	--	0.000000	--
0.003222	-0.105414	-0.001759	0.034816	0.034861	92.892581	--	0.000000	--
0.008236	-0.108732	-0.056250	0.018806	0.059311	161.513600	--	0.000000	--
0.000438	-0.107186	-0.000904	0.023074	0.023092	92.244640	--	0.000000	--
0.003644	-0.105336	-0.001615	0.034416	0.034454	92.687336	--	0.000000	--
0.007225	-0.107851	-0.001567	0.022053	0.022108	94.063942	--	0.000000	--
0.000304	-0.107182	-0.001125	0.023821	0.023848	92.704955	--	0.000000	--
0.006326	-0.107668	-0.001465	0.022240	0.022288	93.769034	--	0.000000	--
0.005986	-0.107212	-0.001665	0.023382	0.023441	94.072110	--	0.000000	--
0.005521	-0.106520	-0.023606	0.027277	0.036073	130.873997	--	0.000000	--
0.005021	-0.105830	-0.020324	0.034105	0.039702	120.791898	--	0.000000	--
0.000044	-0.107235	0.006502	0.022513	0.023433	73.891819	--	0.000000	--
0.000075	-0.107208	-0.000781	0.021721	0.021735	92.059906	--	0.000000	--
0.000181	-0.107164	-0.003472	0.024048	0.024298	98.214967	--	0.000000	--
0.000129	-0.107177	0.002232	0.022617	0.022727	84.363676	--	0.000000	--
0.002268	-0.105542	0.002737	0.035255	0.035361	85.560600	--	0.000000	--
0.008908	-0.109157	-0.078839	-0.006205	0.079082	-175.500000	--	0.000000	--
0.001633	-0.105571	0.000706	0.034497	0.034504	88.828055	--	0.000000	--
0.008481	-0.107758	-0.000961	0.022488	0.022509	92.446628	--	0.000000	--
0.007818	-0.107332	-0.001652	0.023298	0.023356	94.055936	--	0.000000	--
0.004278	-0.105224	-0.000728	0.033614	0.033622	91.239892	--	0.000000	--
0.001206	-0.105795	-0.007286	0.034737	0.035493	101.845874	--	0.000000	--
0.001008	-0.106021	-0.004627	0.033737	0.034053	97.809501	--	0.000000	--
0.006881	-0.107395	-0.001526	0.023366	0.023416	93.735447	--	0.000000	--
0.002649	-0.105404	-0.003066	0.034147	0.034285	95.130929	--	0.000000	--
0.006062	-0.106730	-0.023283	0.021768	0.031874	136.926123	--	0.000000	--
0.000520	-0.107024	-0.002772	0.025047	0.025200	96.315164	--	0.000000	--
0.000725	-0.106176	0.000558	0.031578	0.031582	88.986794	--	0.000000	--
0.005496	-0.106045	-0.021579	0.027509	0.034963	128.111480	--	0.000000	--
0.000554	-0.106866	-0.002319	0.023414	0.023529	95.657410	--	0.000000	--
